Plot;allophylus_edulis;annona_neosalicifolia;araucaria_angustifolia;blepharocalyx_salicifolius;calliandra_cfbrevipes;casearia_decandra;casearia_sylvestris;cedrela_fissilis;celtis_iguanaea;cestrum_strigillatum;chrysophyllum_marginatum;cinnamomum_amoenum;citharexylum_montevidense;citronella_paniculata;citrus_sp;cordia_americana;cupania_vernalis;daphnopsis_racemosa;dasyphyllum_spinescens;diospyros_inconstans;erythroxylum_myrsinites;eugenia_uniflora;eugenia_uruguayensis;guettarda_uruguensis;ilex_brevicuspis;lauraceae_1;lithraea_brasiliensis;luehea_divaricata;matayba_elaeagnoides;maytenus_muelleri;miconia_hyemalis;myrcia_palustris;myrcianthes_pungens;myrrhinium_atropurpureum;myrsine_coriacea;myrsine_lorentziana;myrtaceae_1;nectandra_megapotamica;ocotea_puberula;ocotea_pulchella;podocarpus_lambertii;sebastiania_brasiliensis;sebastiania_commersoniana;sorocea_bonplandii;styrax_leprosus;syagrus_romanzoffiana;symplocos_uniflora;trichilia_claussenii;trichilia_elegans;xylosma_pseudosalzmanii;xylosma_schroederi;xylosma_tweediana;zanthoxylum_fagara
C01;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C02;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C03;2;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;0;31;2;0;0;0;0;0;0;0;0;0;0;0;0
C04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
C05;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C06;4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C07;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
C08;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1
C09;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
C10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
C12;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
C13;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;12;0
C15;6;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;0
C16;14;0;0;19;0;0;0;0;0;2;9;0;0;0;0;0;0;6;0;0;0;10;1;0;0;0;3;0;0;0;0;0;0;2;5;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0
C17;1;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;8;0;0;0;1;0;0;0;0;0;1;0;1
C18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
C19;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0
C20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
F01;6;1;0;4;0;1;2;0;3;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;5;4;1;0;0;0;0;0;1;0;0;0;0;1;1
F02;8;0;0;22;0;0;2;0;8;0;3;0;0;0;0;0;0;5;0;1;0;1;1;0;2;0;0;0;0;0;0;2;0;0;4;1;0;0;2;5;0;0;0;2;1;0;0;2;0;1;0;0;0
F03;4;0;0;3;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1
F04;3;0;1;4;0;2;1;0;0;2;0;0;1;0;0;0;0;5;0;1;0;0;0;0;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1
F05;2;0;0;19;0;0;0;0;0;4;1;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
F06;0;0;0;4;0;0;3;1;1;1;2;0;0;0;0;0;8;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;1;4;6;0;0;0;0;0;0;0;0;2;0;0;0;1
F07;3;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;2;1;2;2;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;1;3;0;1;0;0;1;4;0;0;0;0
F08;6;0;1;7;0;0;2;0;0;0;0;0;0;0;0;0;3;1;0;0;0;3;3;0;1;0;0;0;2;1;0;4;0;0;2;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
F09;1;0;0;4;0;2;0;0;1;1;3;0;0;0;0;1;0;4;0;0;0;0;0;0;0;1;0;0;0;0;1;2;3;0;0;0;0;3;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0
F10;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
F11;12;0;1;4;0;10;0;0;0;0;2;0;0;0;0;0;1;4;2;1;0;0;1;0;0;0;0;2;0;0;0;4;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;1;0;2
F12;1;0;0;11;0;0;0;0;0;0;0;0;1;0;0;0;3;5;0;0;0;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;3;0;0;0;0;0;0;0;0;0;0
F13;8;0;1;9;0;0;0;0;3;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;3;0;2;0;1;1;7;1;0;1;0;0;1;7;0;0;1;0
F14;0;0;2;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0
F15;8;0;0;18;1;3;1;0;0;0;1;0;1;0;1;0;12;6;1;0;1;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;0;0;0;18;0;0;0;0;0;5;0;0;0;1
F16;6;0;0;3;0;1;1;1;1;0;1;0;0;1;0;0;4;1;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;3;1;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0
F17;2;0;2;1;0;0;0;0;0;1;2;0;0;0;0;0;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
F18;6;0;0;5;0;1;1;0;1;2;0;1;0;0;0;0;3;5;0;1;0;0;3;1;0;0;0;1;0;0;1;1;1;1;3;1;0;1;0;3;0;0;3;0;0;0;1;0;1;0;0;1;2
F19;2;0;0;3;0;0;1;0;0;2;0;0;0;0;0;0;0;3;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;0;0;1;0;0;0;1;0;0;0
F20;3;0;0;6;0;1;5;0;0;0;1;0;0;0;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;6;2;3;2;3;2;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;2
