	C_mantiqueira	I_vizottoi	I_guentheri	I_juipoca	I_holti	D_microps	B_faber	B_latistriata	B_prasina	S_duartei	S_dolloi	R_icterica	R_ornata	P_itamari	P_boiei	B_luctuosa	H_sazimai	O_obtriangulata	P_olfersii	A_albosignatus	T_imitatrix	P_mantiqueira	V_uranoscopa
E_TA	5	4	20	4	0	0	0	0	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0
E_TB	4	3	4	20	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
E_CA	0	0	4	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
E_CB	0	0	20	14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
E_VLA	0	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E_VLB	0	0	7	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
E_BVA	0	3	2	15	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0
E_BVB	0	2	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
M_CA	1	6	13	2	0	2	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0
M_CB	0	0	11	5	13	6	0	0	0	0	4	0	0	1	3	0	2	2	0	0	0	0	2
M_AA	5	0	0	2	0	18	0	0	3	0	11	0	0	0	0	1	0	12	6	2	1	0	0
M_AB	0	0	35	2	2	2	0	0	0	1	0	0	0	1	0	0	0	6	0	0	0	0	0
M_FA	0	0	12	1	7	6	0	0	0	0	1	0	0	1	4	6	0	6	0	10	1	0	0
M_FB	0	0	0	2	0	2	0	0	0	0	2	0	0	0	1	3	0	4	0	0	0	0	0
M_BVA	0	6	11	2	12	1	0	5	0	0	0	6	0	1	1	16	0	3	0	12	0	1	0
M_BVB	0	5	12	0	4	14	1	0	0	0	8	1	1	0	10	4	0	15	3	0	0	0	0
