genus_sp;sla;leaf_area;thorn;trichome;toothed_margin
allophylus_edulis;357.102.132.360.202;384.345.036.414.566;0;0;1
annona_neosalicifolia;287.780.303.030.303;101.298.666.666.667;0;0;0
araucaria_angustifolia;151.877.361.352.681;0.810187878787879;1;0;0
blepharocalyx_salicifolius;235.784.520.670.864;388.199.277.070.063;0;0;0
calliandra_cfbrevipes;346.540.540.540.541;32.055;0;0;0
casearia_decandra;382.276.474.098.696;639.361.118.055.556;0;0;1
casearia_sylvestris;299.446.838.697.181;949.562.341.269.841;0;0;1
cedrela_fissilis;635.100.696.715.813;115.332;0;1;0
celtis_iguanaea;350.785.978.895.723;410.666.192.982.456;1;0;1
cestrum_strigillatum;319.816.756.860.215;215.453.705.833.333;0;1;1
chrysophyllum_marginatum;251.352.763.727.898;765.243.722.222.222;0;0;0
cinnamomum_amoenum;238.380.129.589.633;18395;0;0;0
citharexylum_montevidense;199.802.501.471.594;154.364.452.380.952;1;0;1
citronella_paniculata;255.573.714.674.838;37531;0;0;0
citrus_sp;20.385.754.583.921;144.535;1;0;0
cordia_americana;345.538.194.444.444;2.487.875;0;0;1
cupania_vernalis;309.685.296.255.258;157.022.414.285.714;0;0;1
daphnopsis_racemosa;128.153.372.260.649;105.265.294.846.939;0;0;0
dasyphyllum_spinescens;281.184.482.502.745;793.644.157.407.408;1;1;0
diospyros_inconstans;219.772.587.663.571;11.751.671.875;0;0;0
erythroxylum_myrsinites;274.474.733.047.092;517.965.416.666.667;0;0;0
eugenia_uniflora;220.891.577.107.168;754.617.480.769.231;0;0;0
eugenia_uruguayensis;133.270.146.056.435;817.937.786.666.667;0;1;0
guettarda_uruguensis;503.106.922.518.599;511.785;0;1;0
ilex_brevicuspis;339.829.332.634.459;509.538.614.035.088;0;0;1
lauraceae_1;267.842.900.302.115;44.328;0;0;0
lithraea_brasiliensis;201.319.324.647.477;138.950.283.333.333;0;0;0
luehea_divaricata;433.910.686.074.858;26.028.775;0;1;1
matayba_elaeagnoides;203.947.424.102.235;168.340.666.666.667;0;0;0
maytenus_muelleri;150.300.810.130.727;611.856.428.571.429;1;0;1
miconia_hyemalis;309.665.195.632.867;210.725.692.592.593;0;1;1
myrcia_palustris;18.890.826.786.576;768.353.745.098.039;0;1;0
myrcianthes_pungens;138.178.059.705.049;937.193.263.888.889;1;1;0
myrrhinium_atropurpureum;17.610.251.078.004;289.233.571.428.571;0;0;0
myrsine_coriacea;24.991.895.016.665;108.421.645.977.012;0;1;1
myrsine_lorentziana;288.142.997.778.913;152.643;0;0;1
myrtaceae_1;254.008.771.929.825;57.914;0;0;0
nectandra_megapotamica;220.667.987.376.371;853.219.102.564.103;0;0;0
ocotea_puberula;248.397.546.047.489;172.826.221.794.872;0;1;0
ocotea_pulchella;179.558.806.929.516;811.565.146.067.416;0;1;0
podocarpus_lambertii;108.299.653.940.729;167.466.755.555.556;0;0;0
sebastiania_brasiliensis;293.285.703.082.264;663.294.657.894.737;0;0;1
sebastiania_commersoniana;275.914.023.925.318;453.306.391.891.892;1;1;1
sorocea_bonplandii;17.184.136.317.011;1.353.345;1;0;1
styrax_leprosus;179.677.160.603.033;122.295.214.285.714;0;1;0
syagrus_romanzoffiana;204.132.428.248.184;171.41;0;0;0
symplocos_uniflora;277.119.944.470.916;11.649.945;0;1;1
trichilia_claussenii;212.881.461.068.835;1.029.941;0;1;1
trichilia_elegans;271.562.153.402.728;359.149.951.388.889;0;0;0
xylosma_pseudosalzmanii;257.767.791.315.128;590.553.666.666.667;1;0;1
xylosma_schroederi;188.495.871.807.868;728.404.464.285.714;1;1;1
xylosma_tweediana;197.583.457.845.687;5.891.796.875;1;1;1
zanthoxylum_fagara;372.519.410.204.772;205.581.766.666.667;1;0;1
